"KEGG Organisms: Complete Genomes"
"Eukaryotes: 542   Bacteria: 6047   Archaea: 338"
"bfw    Blastomonas fulva                     2018 GenBank"
"Rhizorhabdus                 rdi   Rhizorhabdus dicambivorans            2017 GenBank"
"smic Sphingosinicella microcystinivorans     2019 GenBank"
"Sphingosinicella"
"sphs Sphingosinicella sp. BN140058           2019 GenBank"
"Tardibacter                 sphj   Tardibacter chloracetimidivorans      2017 GenBank"
"Sphingosinithalassobacter   spzr   Sphingosinithalassobacter sp. zrk23   2020 GenBank"
"Hankyongella                hgn    Hankyongella ginsenosidimutans        2020 GenBank"
"Parasphingopyxis            palg   Parasphingopyxis algicola             2020 GenBank"
"Sandaracinobacter           sand Sandaracinobacter sp. M6                2020 GenBank"
"eli   Erythrobacter litoralis HTCC2594      2006 GenBank"
"elq   Erythrobacter litoralis DSM 8509      2017 GenBank"
"ery    Erythrobacter atlanticus              2015 GenBank"
"egn    Erythrobacter gangjinensis            2017 GenBank"
"Erythrobacter                efv   Erythrobacter flavus                  2017 GenBank"
"erk    Erythrobacter sp. KY5                 2018 GenBank"
"err   Erythrobacter aureus                  2018 GenBank"
"erf   Erythrobacter sp. THAF29              2019 GenBank"
"emv    Erythrobacter mangrovi                2020 GenBank"
"aay    Altererythrobacter atlanticus         2015 GenBank"
"amx    Altererythrobacter marensis           2015 GenBank"
"aep    Altererythrobacter epoxidivorans      2015 GenBank"
"Altererythrobacter          anh    Altererythrobacter namhicola          2016 GenBank"
"ado    Altererythrobacter dongtanensis       2016 GenBank"
"alb   Altererythrobacter sp. B11            2018 GenBank"
"alh   Altererythrobacter sp. BO-6           2020 GenBank"
"cna    Croceicoccus naphthovorans            2015 GenBank"
"Croceicoccus"
"cman Croceicoccus marinus                    2017 GenBank"
"pns    Porphyrobacter neustonensis           2016 GenBank"
"                      porl   Porphyrobacter sp. LM 6                           2016 GenBank"
"Porphyrobacter"
"phz    Porphyrobacter sp. HT-58-2                        2018 GenBank"
"pot    Porphyrobacter sp. YT40                           2019 GenBank"
"gox    Gluconobacter oxydans 621H                        2005 GenBank"
"goh    Gluconobacter oxydans H24                         2012 GenBank"
"Gluconobacter         goy    Gluconobacter oxydans DSM 3504                    2015 GenBank"
"gal    Gluconobacter albidus                             2017 GenBank"
"gti    Gluconobacter thailandicus                        2019 GenBank"
"gbe    Granulibacter bethesdensis CGDNIH1                2006 GenBank"
"gbh    Granulibacter bethesdensis CGDNIH2                2014 GenBank"
"Granulobacter"
"gbc    Granulibacter bethesdensis NIH3.1                 2014 GenBank"
"gbs    Granulibacter bethesdensis CGDNIH4                2014 GenBank"
"acr    Acidiphilium cryptum                              2007 GenBank"
"Acidiphilium"
"amv     Acidiphilium multivorum                           2011 GenBank"
"gdi    Gluconacetobacter diazotrophicus PA1 5 (Brazil)   2007 GenBank"
"Gluconacetobacter"
"gdj    Gluconacetobacter diazotrophicus PA1 5 (JGI)      2008 GenBank"
"gxy    Komagataeibacter medellinensis                    2011 GenBank"
"gxl    Komagataeibacter xylinus                          2014 GenBank"
"kna    Komagataeibacter nataicola                        2017 GenBank"
"Komagataeibacter"
"keu    Komagataeibacter europaeus                        2017 GenBank"
"ksc    Komagataeibacter saccharivorans                   2018 GenBank"
"kre    Komagataeibacter rhaeticus                        2020 GenBank"
"apt    Acetobacter pasteurianus IFO 3283-01              2009 GenBank"
"apw     Acetobacter pasteurianus IFO 3283-01-42C          2012 GenBank"
"apf    Acetobacter pasteurianus IFO 3283-03              2012 GenBank"
"apu    Acetobacter pasteurianus IFO 3283-07              2012 GenBank"
"apg    Acetobacter pasteurianus IFO 3283-12              2012 GenBank"
"apq    Acetobacter pasteurianus IFO 3283-22              2012 GenBank"
"apx    Acetobacter pasteurianus IFO 3283-26              2012 GenBank"
"apz    Acetobacter pasteurianus IFO 3283-32              2012 GenBank"
"apk    Acetobacter pasteurianus 386B                     2013 GenBank"
"Acetobacter           asz    Acetobacter senegalensis                          2016 GenBank"
"asv    Acetobacter oryzifermentans                       2016 GenBank"
"aace Acetobacter aceti                                    2017 GenBank"
"aper    Acetobacter persici                               2017 GenBank"
"apom Acetobacter pomorum                                  2017 GenBank"
"ato    Acetobacter tropicalis                            2017 GenBank"
"aasc Acetobacter ascendens                                2018 GenBank"
"acet    Acetobacter sp. JWB                               2018 GenBank"
"aot    Acetobacter orientalis                            2019 GenBank"
"aoy    Acetobacter oryzoeni                              2020 GenBank"
"Asaia                 abg    Asaia bogorensis                                  2016 GenBank"
"Kozakia               kba    Kozakia baliensis                                 2016 GenBank"
"rgi    Roseomonas gilardii                               2017 GenBank"
"Roseomonas            ros    Roseomonas sp. FDAARGOS_362                       2017 GenBank"
"rmuc Roseomonas mucosa                                    2019 GenBank"
"Neoasaia              nch    Neoasaia chiangmaiensis                           2017 GenBank"
"coq    Commensalibacter sp. AMU001                       2018 GenBank"
"Commensalibacter"
"comm Commensalibacter sp. ESL0284                         2020 GenBank"
"shum Stella humosa                                        2019 GenBank"
"Stella"
"svc    Stella vacuolata                                  2019 GenBank"
"ntn    Neokomagataea tanensis                            2019 GenBank"
"Neokomagataea"
"neh    Neokomagataea sp. Ha5                             2019 GenBank"
"ssam Swingsia samuiensis                                  2019 GenBank"
"Swingsia"
"swf    Swingsia sp. F3b2                                 2019 GenBank"
"bob    Bombella sp. ESL0368                              2020 GenBank"
"Bombella"
"bomb Bombella sp. KACC 21507                              2020 GenBank"
"rru    Rhodospirillum rubrum ATCC 11170                  2005 RefSeq"
"Rhodospirillum        rrf    Rhodospirillum rubrum F11                         2012 GenBank"
"rce    Rhodospirillum centenum                           2008 GenBank"
"Pararhodospirillum   rpm     Pararhodospirillum photometricum                  2012 GenBank"
"mag     Magnetospirillum magneticum                       2005 GenBank"
"mgy     Magnetospirillum gryphiswaldense MSR-1 v2         2013 GenBank"
"Magnetospirillum     mgry Magnetospirillum gryphiswaldense MSR-1               2018 GenBank"
"magx Magnetospirillum sp. XM-1                            2016 GenBank"
""
"magn Magnetospirillum sp. ME-1                            2017 GenBank"
"azl    Azospirillum sp. B510                             2010 GenBank"
"ali    Azospirillum lipoferum                            2012 GenBank"
"abs    Azospirillum baldaniorum Sp245                    2012 GenBank"
"                                                        abq    Azospirillum brasilense Az39                  2014 GenBank"
"abf   Azospirillum brasilense Sp7                   2016 GenBank"
"Azospirillum"
"ati   Azospirillum thiophilum                       2016 GenBank"
"ahu    Azospirillum humicireducens                   2016 GenBank"
"azt   Azospirillum sp. TSH58                        2018 GenBank"
"azm    Azospirillum ramasamyi                        2018 GenBank"
"azz    Azospirillum thermophilum                     2019 GenBank"
"aoz    Azospirillum oryzae                           2020 GenBank"
"Tistrella                        tmo    Tistrella mobilis                             2012 GenBank"
"thal   Candidatus Endolissoclinum faulkneri L2       2012 GenBank"
"Endolissoclinum"
"efk   Candidatus Endolissoclinum faulkneri L5       2016 GenBank"
"txi   Thalassospira xiamenensis                     2015 GenBank"
"Thalassospira                    thac   Thalassospira marina                          2017 GenBank"
"tii   Thalassospira indica                          2018 GenBank"
"Magnetospira                     magq Magnetospira sp. QH-2                           2015 GenBank"
"Haematospirillum                  hjo   Haematospirillum jordaniae                    2016 GenBank"
"Nitrospirillum                   nao    Nitrospirillum amazonense                     2017 GenBank"
"Niveispirillum                   ncb    Niveispirillum cyanobacteriorum               2018 GenBank"
"Ferrovibrio                       fer   Ferrovibrio terrae                            2019 GenBank"
"htq   Hypericibacter terrae                         2020 GenBank"
"Hypericibacter"
"hadh Hypericibacter adhaerens                        2020 GenBank"
"dex    Defluviicoccus sp. SSA4                       2020 GenBank"
"Defluviicoccus"
"dvn    Defluviicoccus vanus                          2020 GenBank"
"Parvularcula                      pbr   Parvularcula bermudensis                      2010 GenBank"
"Magnetococcus                    mgm Magnetococcus marinus                            2006 GenBank"
"pub    Candidatus Pelagibacter ubique                2005 GenBank"
"Pelagibacter                      pel   Candidatus Pelagibacter sp. IMCC9063          2011 GenBank"
"peg    Candidatus Pelagibacter giovannonii           2020 GenBank"
"apc    Alpha proteobacterium HIMB59                  2012 GenBank"
"unclassified Pelagibacteraceae"
"apm    Alpha proteobacterium HIMB5                   2012 GenBank"
"Emcibacter                       ecog Emcibacter congregatus                          2019 GenBank"
"mai    Micavibrio aeruginosavorus ARL-13             2011 GenBank"
"Micavibrio"
"man    Micavibrio aeruginosavorus EPB                2013 GenBank"
"Polymorphum                      pgv    Polymorphum gilvum                            2011 GenBank"
"phr   Phreatobacter cathodiphilus                   2018 GenBank"
"Phreatobacter"
"pstg   Phreatobacter stygius                         2019 GenBank"
"Puniceispirillum                 apb    Candidatus Puniceispirillum marinum           2010 GenBank"
"bba    Bdellovibrio bacteriovorus HD100              2004 GenBank"
"bbat   Bdellovibrio bacteriovorus Tiberius           2012 GenBank"
"bbw    Bdellovibrio bacteriovorus W                  2014 GenBank"
"bbac Bdellovibrio bacteriovorus 109J                 2014 GenBank"
"Bdellovibrio"
"bex    Bdellovibrio exovorus                         2013 GenBank"
"bdq    Bdellovibrio sp. qaytius                      2019 GenBank"
"Oligoflexia"
"bdc    Bdellovibrio sp. NC01                         2020 GenBank"
"bdz    Bdellovibrio sp. ZAP7                         2020 GenBank"
"bmx    Halobacteriovorax marinus                     2012 GenBank"
"Halobacteriovorax"
"hax    Halobacteriovorax sp. BALOs_7                 2018 GenBank"
"Bacteriovorax                    bsto   Bacteriovorax stolpii                         2018 GenBank"
"unclassified Silvanigrellales     sbf   Silvanigrellales bacterium RF1110005          2019 GenBank"
"afr   Acidithiobacillus ferrooxidans ATCC 23270     2008 GenBank"
"afe   Acidithiobacillus ferrooxidans ATCC 53993     2008 GenBank"
"acu    Acidithiobacillus caldus SM-1                 2011 GenBank"
"Acidithiobacillus                acz    Acidithiobacillus caldus ATCC 51756           2015 GenBank"
"afi   Acidithiobacillus ferrivorans                 2011 GenBank"
"Other proteobacteria"
"afj   Acidithiobacillus ferridurans                 2019 GenBank"
"atx   Acidithiobacillus thiooxidans                 2019 GenBank"
"maes Mariprofundus aestuarium                        2017 GenBank"
"Mariprofundus"
"mfn    Mariprofundus ferrinatatus                    2017 GenBank"
"Hydrogenophilus                   htl   Hydrogenophilus thermoluteolus                2018 GenBank"
"bsu    Bacillus subtilis subsp. subtilis 168         1997 RefSeq"
"bsr   Bacillus subtilis subsp. subtilis RO-NN-1     2012 GenBank"
"bsl   Bacillus subtilis subsp. subtilis BSP1        2012 GenBank"
"bsh    Bacillus subtilis subsp. subtilis 6051-HGW    2013 GenBank"
"bsy    Bacillus subtilis subsp. subtilis BAB-1       2013 GenBank"
"bsut   Bacillus subtilis subsp. subtilis AG1839      2014 GenBank"
"bsul   Bacillus subtilis subsp. subtilis JH642       2014 GenBank"
"bsus Bacillus subtilis subsp. subtilis OH 131.1      2014 GenBank"
"bss    Bacillus subtilis subsp. spizizenii W23       2010 GenBank"
"bst   Bacillus subtilis subsp. spizizenii TU-B-10   2011 GenBank"
"           bso    Bacillus subtilis subsp. natto BEST195             2013 GenBank"
"bsn    Bacillus subtilis BSn5                             2011 GenBank"
"bsq    Bacillus subtilis QB928                            2012 GenBank"
"bsx    Bacillus subtilis XF-1                             2013 GenBank"
"bsp    Bacillus subtilis PY79                             2013 GenBank"
"bli   Bacillus licheniformis ATCC 14580                  2004 GenBank"
"bld   Bacillus licheniformis DSM 13 = ATCC 14580         2004 GenBank"
"blh   Bacillus paralicheniformis                         2013 GenBank"
"bay    Bacillus velezensis FZB42                          2007 GenBank"
"baq    Bacillus velezensis CAU B946                       2012 GenBank"
"bya    Bacillus velezensis YAU B9601-Y2                   2012 GenBank"
"bamp Bacillus velezensis AS43.3                           2012 GenBank"
"baml Bacillus velezensis UCMB5036                         2013 GenBank"
"bama Bacillus velezensis UCMB5033                         2013 GenBank"
"bamn Bacillus velezensis UCMB5113                         2013 GenBank"
"bamb Bacillus velezensis NAU-B3                           2013 GenBank"
"bamt Bacillus velezensis TrigoCor1448                     2014 GenBank"
"bamy Bacillus velezensis SQR9                             2014 GenBank"
"bmp    Bacillus velezensis JS25R                          2014 GenBank"
"bao    Bacillus amyloliquefaciens DSM 7                   2010 GenBank"
"baz    Bacillus amyloliquefaciens TA208                   2012 GenBank"
"bql   Bacillus amyloliquefaciens LL3                     2012 GenBank"
"bxh    Bacillus amyloliquefaciens XH7                     2012 GenBank"
"bqy    Bacillus amyloliquefaciens Y2                      2012 GenBank"
"bami Bacillus amyloliquefaciens IT-45                     2013 GenBank"
"bamc Bacillus amyloliquefaciens CC178                     2013 GenBank"
"bamf Bacillus amyloliquefaciens LFB112                    2013 GenBank"
"bsia   Bacillus siamensis                                 2020 GenBank"
"bae    Bacillus atrophaeus                                2010 GenBank"
"bvm    Bacillus vallismortis                              2017 GenBank"
"bson Bacillus sonorensis                                  2020 GenBank"
"bht   Bacillus halotolerans                              2020 GenBank"
""
"ban    Bacillus anthracis Ames                            2003 RefSeq"
"bar   Bacillus anthracis Ames Ancestor                   2004 GenBank"
"bat   Bacillus anthracis Sterne                          2004 RefSeq"
"bah    Bacillus anthracis CDC 684                         2009 GenBank"
"bai   Bacillus anthracis A0248                           2009 GenBank"
"bax    Bacillus anthracis H9401                           2012 GenBank"
"bant   Bacillus anthracis A16                             2014 GenBank"
"banr   Bacillus anthracis A16R                            2014 GenBank"
"bans Bacillus anthracis SVA11                             2014 GenBank"
"banh Bacillus anthracis HYU01                             2014 GenBank"
"banv Bacillus anthracis Vollum                            2014 GenBank"
"bce    Bacillus cereus ATCC 14579                         2003 RefSeq"
"bca    Bacillus cereus ATCC 10987                         2004 GenBank"
"bcz    Bacillus cereus E33L                               2004 GenBank"
"bcr   Bacillus cereus AH187                              2008 GenBank"
"bcb    Bacillus cereus B4264                              2008 GenBank"
"bcu    Bacillus cereus AH820                              2009 GenBank"
"bcg    Bacillus cereus G9842                              2009 GenBank"
"bcq    Bacillus cereus Q1                                 2009 GenBank"
"bcx    Bacillus cereus 03BB102                            2009 GenBank"
"bal   Bacillus cereus biovar anthracis CI                2010 GenBank"
"bnc    Bacillus cereus NC7401                             2012 GenBank"
"bcf   Bacillus cereus F837/76                            2012 GenBank"
"bcer   Bacillus cereus FRI-35                             2012 GenBank"
"bcef   Bacillus cereus FT9                                2014 GenBank"
"Bacillus"
"bcy    Bacillus cytotoxicus                               2007 GenBank"
"btk   Bacillus thuringiensis serovar konkukian 97-27     2004 RefSeq"
"btl   Bacillus thuringiensis Al Hakam                    2006 GenBank"
"btb   Bacillus thuringiensis BMB171                      2010 GenBank"
"btt   Bacillus thuringiensis serovar kurstaki HD73       2013 GenBank"
"bthr   Bacillus thuringiensis serovar kurstaki YBT-1520   2014 GenBank"
"bthi   Bacillus thuringiensis serovar kurstaki HD-1       2014 GenBank"
"btc   Bacillus thuringiensis serovar chinensis CT-43     2012 GenBank"
"btf   Bacillus thuringiensis serovar finitimus YBT-020   2012 GenBank"
"btm    Bacillus thuringiensis MC28                        2012 GenBank"
"btg   Bacillus thuringiensis Bt407                       2012 GenBank"
"bti   Bacillus thuringiensis HD-771                      2012 GenBank"
"                                 btn   Bacillus thuringiensis HD-789                         2013 GenBank"
"btht   Bacillus thuringiensis serovar thuringiensis IS5056   2013 GenBank"
"bthu   Bacillus thuringiensis YBT-1518                       2013 GenBank"
"btw    Bacillus thuringiensis HD1011                         2015 GenBank"
"bthy   Bacillus thuringiensis YWC2-8                         2017 GenBank"
"bwe    Bacillus mycoides KBAB4                               2008 GenBank"
"bww    Bacillus mycoides WSBC 10204                          2014 GenBank"
"bmyo Bacillus mycoides ATCC 6462                             2015 GenBank"
"bty   Bacillus toyonensis                                   2013 GenBank"
"bmyc Bacillus pseudomycoides 219298                          2014 GenBank"
"bby    Bacillus bombysepticus                                2015 GenBank"
"bwd    Bacillus wiedmannii                                   2019 GenBank"
"btro   Bacillus tropicus                                     2020 GenBank"
"bmob Bacillus mobilis                                        2020 GenBank"
"bpu    Bacillus pumilus SAFR-032                             2007 GenBank"
"bpum Bacillus pumilus MTCC B6033                             2014 GenBank"
"bpus Bacillus pumilus SH-B9                                  2017 GenBank"
"bmq    Bacillus megaterium QM B1551                          2010 GenBank"
"bmd    Bacillus megaterium DSM 319                           2010 GenBank"
"bmh    Bacillus megaterium WSH-002                           2012 GenBank"
"bmeg Bacillus megaterium NBRC 15308 = ATCC 14581             2015 GenBank"
"bco    Bacillus cellulosilyticus                             2011 GenBank"
"bck    Bacillus coagulans 2-6                                2011 GenBank"
"bag    Bacillus coagulans 36D1                               2011 GenBank"
"bcoa Bacillus coagulans DSM 1 = ATCC 7050                    2015 GenBank"
"bjs   Bacillus sp. JS                                       2012 GenBank"
"baci   Bacillus sp. 1NLA3E                                   2013 GenBank"
"bif   Bacillus infantis                                     2013 GenBank"
"bmet Bacillus methanolicus                                   2014 GenBank"
"gst   Bacillus sp. X1(2014)                                 2014 GenBank"
"bacw Bacillus sp. WP8                                        2015 GenBank"
"bacp Bacillus sp. Pc3                                        2015 GenBank"
"bacb Bacillus sp. BH072                                      2015 GenBank"
"baco Bacillus sp. OxB-1                                      2015 GenBank"
"bacy Bacillus sp. YP1                                        2015 GenBank"
"bacl   Bacillus sp. BS34A                                    2015 GenBank"
"balm Bacillus sp. LM 4-2                                     2015 GenBank"
"beo    Bacillus filamentosus                                 2015 GenBank"
"bsm    Bacillus smithii                                      2015 GenBank"
"bgy    Bacillus glycinifermentans                            2016 GenBank"
"bfx   Bacillus flexus                                       2017 GenBank"
"bgi   Bacillus gibsonii                                     2017 GenBank"
"bwh    Bacillus weihaiensis                                  2017 GenBank"
"bxi   Bacillus xiamenensis                                  2017 GenBank"
"bhk    Bacillus horikoshii                                   2017 GenBank"
"Bacteria"
"bbev Bacillus beveridgei                                     2017 GenBank"
"balt   Bacillus altitudinis                                  2017 GenBank"
"bacs Bacillus sp. SDLI1                                      2017 GenBank"
"bsaf   Bacillus safensis                                     2018 GenBank"
"bit   Bacillus intestinalis                                 2018 GenBank"
"bacq Bacillus sp. Y1                                         2019 GenBank"
"bthv   Bacillus thermoamylovorans                            2019 GenBank"
"bcir   Bacillus circulans                                    2020 GenBank"
"bfd   Bacillus freudenreichii                               2020 GenBank"
"bcoh Bacillus cohnii                                         2020 GenBank"
"blen   Bacillus lentus                                       2020 GenBank"
"bha    Bacillus halodurans                                   2000 GenBank"
"bcl   Bacillus clausii                                      2005 GenBank"
"Alkalihalobacillus    bpf   Bacillus pseudofirmus                                 2010 GenBank"
"ble   Bacillus lehensis                                     2014 GenBank"
"bkw    Alkalihalobacillus krulwichiae                        2017 GenBank"
"bon    Bacillus oceanisediminis                              2016 GenBank"
"Cytobacillus"
"bko    Cytobacillus kochii                                   2017 GenBank"
"oih   Oceanobacillus iheyensis                              2002 GenBank"
"Oceanobacillus       ocn    Oceanobacillus sp. 160                                2018 GenBank"
"ocb    Oceanobacillus sp. 143                                2019 GenBank"
"gka    Geobacillus kaustophilus                              2004 GenBank"
"gte   Geobacillus thermoleovorans CCB_US3_UF5               2012 GenBank"
"gtk   Geobacillus thermoleovorans KCTC 3570                 2017 GenBank"
"gtm    Geobacillus thermocatenulatus                         2017 GenBank"
"                         gli   Geobacillus lituanicus                                 2017 GenBank"
"gtn   Geobacillus thermodenitrificans                        2007 GenBank"
"gwc    Geobacillus sp. WCH70                                  2009 GenBank"
"gyc    Geobacillus sp. Y412MC61                               2009 GenBank"
"gya    Geobacillus sp. Y412MC52                               2011 GenBank"
"Geobacillus"
"gct   Geobacillus sp. C56-T3                                 2010 GenBank"
"gmc    Geobacillus sp. Y4.1MC1                                2010 GenBank"
"ggh    Geobacillus sp. GHH01                                  2013 GenBank"
"gjf   Geobacillus genomosp. 3                                2013 GenBank"
"gea    Geobacillus sp. 12AMOR1                                2015 GenBank"
"gel   Geobacillus sp. LC300                                  2015 GenBank"
""
"gse    Geobacillus stearothermophilus                         2015 GenBank"
"gsr   Geobacillus subterraneus                               2016 GenBank"
"gej   Geobacillus sp. JS12                                   2016 GenBank"
"gth   Parageobacillus thermoglucosidasius C56-YS93           2011 GenBank"
"Parageobacillus          ptl   Parageobacillus thermoglucosidasius DSM 2542           2016 GenBank"
"ptb   Parageobacillus toebii NBRC 107807                     2020 GenBank"
"afl   Anoxybacillus flavithermus                             2008 GenBank"
"agn    Anoxybacillus gonensis                                 2015 GenBank"
"anm    Anoxybacillus sp. B2M1                                 2016 GenBank"
"Anoxybacillus           aamy Anoxybacillus amylolyticus                               2016 GenBank"
"anl   Anoxybacillus sp. B7M1                                 2016 GenBank"
"and    Anoxybacillus sp. PDR2                                 2020 GenBank"
"acai   Anoxybacillus caldiproteolyticus                       2020 GenBank"
"Amphibacillus            axl   Amphibacillus xylanus                                  2012 GenBank"
"lsp   Lysinibacillus sphaericus                              2008 GenBank"
"lgy   Lysinibacillus varians                                 2014 GenBank"
"lfu   Lysinibacillus fusiformis                              2015 GenBank"
"lys   Lysinibacillus sp. YS11                                2018 GenBank"
"Lysinibacillus"
"lyb   Lysinibacillus sp. B2A1                                2018 GenBank"
"lyz   Lysinibacillus sp. 2017                                2018 GenBank"
"lyg   Lysinibacillus sp. SGAir0095                           2019 GenBank"
"lpak   Lysinibacillus pakistanensis                           2019 GenBank"
"hhd    Halobacillus halophilus                                2012 GenBank"
"Halobacillus            hmn    Halobacillus mangrovi                                  2017 GenBank"
"hli   Halobacillus litoralis                                 2019 GenBank"
"Terribacillus            tap   Terribacillus goriensis                                2014 GenBank"
"vir   Virgibacillus sp. SK37                                 2014 GenBank"
"vhl   Virgibacillus halodenitrificans                        2016 GenBank"
"vig   Virgibacillus sp. 6R                                   2017 GenBank"
"Virgibacillus            vil   Virgibacillus phasianinus                              2017 GenBank"
"vne    Virgibacillus necropolis                               2017 GenBank"
"vpn    Virgibacillus dokdonensis                              2018 GenBank"
"vim    Virgibacillus sp. MSP4-1                               2020 GenBank"
"Lentibacillus            lao   Lentibacillus amyloliquefaciens                        2016 GenBank"
"fpn   Fictibacillus phosphorivorans                          2016 GenBank"
"Fictibacillus"
"far   Fictibacillus arsenicus                                2016 GenBank"
"Salimicrobium            sje   Salimicrobium jeotgali                                 2016 GenBank"
"Aeribacillus            apak Aeribacillus pallidus                                    2017 GenBank"
"bsj   Peribacillus simplex                                   2016 GenBank"
"bmur Peribacillus muralis                                     2018 GenBank"
"Peribacillus"
"pbut   Peribacillus butanolivorans                            2020 GenBank"
"pasa Peribacillus asahii                                      2020 GenBank"
"Aquibacillus             aqt   Radiobacillus deserti                                  2019 GenBank"
"psyh Psychrobacillus sp. AK 1817                              2019 GenBank"
"Psychrobacillus"
"psyo Psychrobacillus glaciei                                  2019 GenBank"
"Pradoshia                prd   Pradoshia sp. D12                                      2019 GenBank"
"Gracilibacillus          grc   Gracilibacillus sp. SCU50                              2019 GenBank"
"rue   Salicibibacter kimchii                                 2018 GenBank"
"Salicibibacter"
"sale   Salicibibacter halophilus                              2019 GenBank"
"Pontibacillus            pof   Pontibacillus sp. HMF3514                              2020 GenBank"
"nmk    Neobacillus mesonae                                    2020 GenBank"
"Neobacillus"
"ntm    Neobacillus thermocopriae                              2020 GenBank"
"Metabacillus            meku Metabacillus sp. KUDC1714                                2020 GenBank"
"Anaerobacillus           aia   Anaerobacillus isosaccharinicus                        2020 GenBank"
"Sporolactobacillus      stea   Sporolactobacillus terrae                              2019 GenBank"
"unclassified"
"bse    Bacillus selenitireducens                              2010 GenBank"
"Sporolactobacillaceae"
"sau    Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)   2001 GenBank"
"sav    Staphylococcus aureus subsp. aureus Mu50 (MRSA/VISA)   2001 GenBank"
"                 saw    Staphylococcus aureus subsp. aureus Mu3 (MRSA/hetero-VISA)     2007 GenBank"
"sah    Staphylococcus aureus subsp. aureus JH1 (MRSA/VSSA)            2007 GenBank"
"saj   Staphylococcus aureus subsp. aureus JH9 (MRSA/VISA)            2007 GenBank"
"sam    Staphylococcus aureus subsp. aureus MW2 (CA-MRSA)              2002 GenBank"
"sas    Staphylococcus aureus subsp. aureus MSSA476 (MSSA)             2004 GenBank"
"sar    Staphylococcus aureus subsp. aureus MRSA252 (MRSA)             2004 GenBank"
"sac    Staphylococcus aureus subsp. aureus COL (MRSA)                 2005 GenBank"
"sax    Staphylococcus aureus subsp. aureus USA300_TCH1516 (CA-MRSA)   2007 GenBank"
"saa    Staphylococcus aureus subsp. aureus USA300_FPR3757 (CA-MRSA)   2006 GenBank"
"sao    Staphylococcus aureus subsp. aureus NCTC8325                   2006 RefSeq"
"sae    Staphylococcus aureus subsp. aureus Newman                     2007 GenBank"
"sad    Staphylococcus aureus subsp. aureus ED98                       2009 GenBank"
"suu    Staphylococcus aureus subsp. aureus M013 (CA-MRSA)             2012 GenBank"
"suv    Staphylococcus aureus subsp. aureus VC40                       2012 GenBank"
"sue    Staphylococcus aureus subsp. aureus ED133                      2012 GenBank"
"suj   Staphylococcus aureus subsp. aureus JKD6159 (CA-MRSA)          2012 GenBank"
"suk    Staphylococcus aureus subsp. aureus JKD6008 (MRSA/VISA)        2012 GenBank"
"suc    Staphylococcus aureus subsp. aureus ECT-R 2 (MSSA)             2012 GenBank"
"sut   Staphylococcus aureus subsp. aureus T0131 (MRSA)               2012 GenBank"
"suq    Staphylococcus aureus subsp. aureus TCH60                      2012 GenBank"
"suz    Staphylococcus aureus subsp. aureus 11819-97 (CA-MRSA)         2012 GenBank"
"sud    Staphylococcus aureus subsp. aureus 71193 (MSSA)               2012 GenBank"
"sux    Staphylococcus aureus subsp. aureus HO 5096 0412 (MRSA)        2012 GenBank"
"suw    Staphylococcus aureus subsp. aureus TW20 (MRSA)                2012 GenBank"
"sug    Staphylococcus aureus subsp. aureus ST398 (MRSA)               2012 GenBank"
"suf   Staphylococcus aureus subsp. aureus LGA251 (MRSA)              2012 GenBank"
"saua Staphylococcus aureus subsp. aureus 55/2053                      2013 GenBank"
"saue Staphylococcus aureus subsp. aureus 6850 (MSSA)                  2013 GenBank"
"saun Staphylococcus aureus subsp. aureus CN1 (CA-MRSA)                2013 GenBank"
"saus Staphylococcus aureus subsp. aureus SA40 (CA-MRSA)               2013 GenBank"
"sauu Staphylococcus aureus subsp. aureus SA957 (CA-MRSA)              2013 GenBank"
"saug Staphylococcus aureus subsp. aureus SA268 (CA-MRSA)              2015 GenBank"
""
"sauz Staphylococcus aureus subsp. aureus Z172 (MRSA/VISA)             2013 GenBank"
"saut   Staphylococcus aureus subsp. aureus ST228/10388 (MRSA)         2014 GenBank"
"sauj   Staphylococcus aureus subsp. aureus ST228/10497 (MRSA)         2014 GenBank"
"sauk Staphylococcus aureus subsp. aureus ST228/15532 (MRSA)           2014 GenBank"
"sauq Staphylococcus aureus subsp. aureus ST228/16035 (MRSA)           2014 GenBank"
"sauv Staphylococcus aureus subsp. aureus ST228/18412 (MRSA)           2014 GenBank"
"sauw Staphylococcus aureus subsp. aureus ST228/16125 (MRSA)           2014 GenBank"
"saux Staphylococcus aureus subsp. aureus ST228/18341 (MRSA)           2014 GenBank"
"sauy Staphylococcus aureus subsp. aureus ST228/18583 (MRSA)           2014 GenBank"
"sauf   Staphylococcus aureus subsp. aureus FDAARGOS_5                 2014 GenBank"
"sab    Staphylococcus aureus RF122                                    2005 GenBank"
"suy    Staphylococcus aureus 04-02981 (MRSA)                          2012 GenBank"
"saub Staphylococcus aureus 08BA02176 (LA-MRSA)                        2012 GenBank"
"Staphylococcus   saum Staphylococcus aureus M1 (MRSA)                                  2013 GenBank"
"sauc Staphylococcus aureus CA-347 (MRSA)                              2013 GenBank"
"saur   Staphylococcus aureus Bmb9393 (MRSA)                           2013 GenBank"
"saui   Staphylococcus aureus USA300-ISMMS1 (MRSA)                     2014 GenBank"
"saud Staphylococcus aureus 502A                                       2014 GenBank"
"sams Staphylococcus aureus MS4                                        2017 GenBank"
